pile_idx,pile_name,pile_group,within_group_idx,term_idx
0,Beethoven,2,0,"[41, 48, 53, 77, 98, 99, 103, 105, 110, 112, 123, 139]"
1,Gould1,1,0,"[10, 35, 37, 54, 75, 78]"
2,Gould2,2,1,"[51, 72, 144]"
3,accentuated,1,1,"[1, 86, 126]"
4,amateur,1,2,"[5, 18, 115]"
5,anxious,1,3,"[3, 6, 95, 135]"
6,articulated,2,2,"[1, 13, 25, 49, 86, 118, 126]"
7,bland,2,3,"[5, 8, 11, 44, 119]"
8,childhood,2,4,"[21, 46, 76, 120]"
9,clumsy,1,4,[26]
10,cold,1,5,"[27, 30, 40, 71, 107]"
11,complex,2,5,"[19, 29, 78, 94]"
12,controlled,2,6,"[18, 24, 31, 38, 52, 130, 131]"
13,dark,1,6,"[33, 125, 149]"
14,dirty,1,7,"[9, 39, 63, 108, 121, 138]"
15,dirty_pile,2,7,"[9, 26, 39, 63, 121, 138]"
16,elegant,1,8,"[47, 96]"
17,emotional,1,9,"[48, 50, 55, 74, 81, 84, 91, 94, 97, 99, 110]"
18,ethereal,2,8,"[4, 12, 36, 57, 59, 83, 124, 136, 148]"
19,expressive,1,10,"[28, 29, 38, 53, 112]"
20,false,2,9,"[54, 75, 81]"
21,fast,1,11,"[14, 20, 45, 51, 56, 64, 68, 70, 73, 105, 113]"
22,frenetic,2,10,"[2, 3, 6, 61, 67, 68, 70, 73, 74, 95, 113, 135]"
23,happy,1,12,"[7, 21, 66, 76, 79, 102]"
24,hitting_the_piano,2,11,"[0, 15, 20, 22, 23, 132, 141, 145]"
25,impressionist,2,12,"[40, 42, 101, 106, 115, 137]"
26,intense,1,13,"[41, 49, 61, 77, 139, 146]"
27,loud,1,14,"[2, 13, 23, 67, 69, 85, 92, 118]"
28,machine-like,2,13,"[27, 43, 71, 88, 92, 93, 107, 109, 117, 127, 128, 133, 140, 143]"
29,melancholic,2,14,"[33, 34, 69, 97, 114, 122, 149]"
30,military,2,15,"[7, 30, 35, 37, 47, 87, 96, 125, 142]"
31,peaceful,2,16,"[16, 17, 58, 65, 82, 89, 90, 100, 116, 134, 147]"
32,professional,2,17,"[10, 55, 60, 62, 91, 104, 108, 111, 129, 146]"
33,puppies,2,18,"[14, 28, 32, 45, 50, 56, 64, 66, 79, 80, 84, 85, 102]"
34,quiet,1,15,"[16, 59, 106, 119, 136]"
35,reflected,1,16,"[19, 34, 101, 103, 104, 129, 137]"
36,robotic,1,17,"[8, 11, 31, 44, 52, 87, 88, 93, 109, 127, 131, 133, 140, 142, 143]"
37,round,1,18,"[17, 62, 82, 90, 111, 147]"
38,sad,1,19,"[114, 122]"
39,simple,1,20,"[46, 60, 120, 130]"
40,soft,1,21,"[36, 42, 65, 89, 124, 134]"
41,sterile,1,22,"[24, 25, 43, 117, 128]"
42,uneven,1,23,"[0, 15, 22, 72, 80, 132, 141, 144, 145]"
43,weightless,1,24,"[4, 12, 32, 57, 58, 83, 98, 100, 116, 123, 148]"
